Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
Sr Data Scientist,"$127,309
/yr (est.)","Copper River Cyber Solutions is seeking a Senior Data Scientist to join our team in support of a new contract at the Department of Health and Human Services Administration for Strategic Preparedness and Responsiveness. This position will be performed remotely with the occasional need for an onsite meeting in the Washington D.C. area.
The Senior Data Scientist is responsible for data warehousing across the program, from initial design, implementation, and ongoing operations.
Responsibilities (include but are not limited to):
Providing guidance to all shareholders, from developers to senior management.


Show more",4.3,Copper River Family of Companies,"Washington, DC",501 to 1000 Employees,2006,Company - Private,National Agencies,Government & Public Administration,$100 to $500 million (USD)
Dir-Data Scientist,"$239,300
/yr (est.)","Moody’s is a developmental culture where we value candidates who are willing to grow. So, if you are excited about this opportunity but don’t meet every single requirement, please apply! You may be a perfect fit for this role or other open roles.
Moody's is a global integrated risk assessment firm that empowers organizations to make better decisions.
At Moody’s, we’re taking action. We’re hiring diverse talent and providing underrepresented groups with equitable opportunities in their careers. We’re educating, empowering and elevating our people, and creating a workplace where each person can be their true selves, reach their full potential and thrive on every level. Learn more about our DE&I initiatives, employee development programs and view our annual DE&I Report at moodys.com/diversity





Show more",3.9,Moody's,"Atlanta, GA",10000+ Employees,1900,Company - Public,Research & Development,Management & Consulting,$1 to $5 billion (USD)
Data Scientist,"$122,090
/yr (est.)","Overview:
Arcfield is a leading provider of full lifecycle, mission-focused systems engineering and integration capabilities to the U.S. government and its allies. The company has more than 60 years of proven experience providing advanced engineering and analysis, IT and C5ISR capabilities to support our nation’s most critical national security missions. Headquartered in Chantilly, VA and with 16 offices around the world, Arcfield employs approximately 1,200 engineers, analysts, IT specialists, and other professionals who put our customers’ missions first, helping them solve their most complex challenges through innovations in modeling, simulation and analysis, digital transformation and C5ISR. Visit arcfield.com for more details.
Responsibilities:
Qualifications:
EEO Statement:











Show more",4.3,Arcfield,"Herndon, VA",1001 to 5000 Employees,2021,Company - Private,Aerospace & Defense,Aerospace & Defense,$500 million to $1 billion (USD)
Lead Data Scientist - GenAI,"$189,475
/yr (est.)","At Boeing, we innovate and collaborate to make the world a better place. From the seabed to outer space, you can contribute to work that matters with a company where diversity, equity and inclusion are shared values. We’re committed to fostering an environment for every teammate that’s welcoming, respectful and inclusive, with great opportunity for professional growth. Find your future with us.
Boeing Defense, Space & Security (BDS) is seeking a Lead Data Scientist – GenAI to join team located in Multiple Locations.
This position can be located in the following areas: Seattle, WA; Arlington, VA; Denver, CO; Long Beach, CA; Miami, FL; New York, NY; North Charleston, SC; Plano, TX; Saint Louis, MO; San Francisco, CA.
Position Responsibilities:

U.S. Government Export Control Status: This position must meet export control compliance requirements. To meet export control compliance requirements, a “U.S. Person” as defined by 22 C.F.R. §120.15 is required. “U.S. Person” includes U.S. Citizen, lawful permanent resident, refugee, or asylee.

US based job, US Person required

Show more",3.9,BOEING,"Seattle, WA",10000+ Employees,1916,Company - Public,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD)
Data Scientist,"$114,088
/yr (est.)","Data Scientist
*** This is a hybrid position, only local candidates will be considered. If you have plans to move to the Bay Area please provide details in a cover letter ***

Job Summary:
Responsible for modeling and analyzing complex organization-wide problems, discovering insights and identifying opportunities through the use of statistical, algorithmic, mining and visualization techniques. Proficient at wrangling large amounts of data from disparate sources, creating and refining financial models, and have the ability to effectively communicate results. Turn data gleaned from tactical data munging into knowledge that can be used to make sound decisions.




Show more",4.3,Provident Credit Union,"Redwood Shores, CA",201 to 500 Employees,1950,Nonprofit Organization,Investment & Asset Management,Financial Services,$25 to $100 million (USD)
Senior Data Scientist,"$158,995
/yr (est.)","Overview
Intuit is looking for innovative and hands-on Senior Data Scientist to join the Intuit AI team.

This team embeds artificial intelligence and machine learning into our product portfolio and business to create smarter products, improve anti-fraud and security and enhance customer care. Come join our collaborative and creative group of data scientists and machine learning engineers and build models that directly affect hundreds of thousands of our customers. In this role you will be building and deploying machine learning models using both analytical algorithms and deep learning approaches.
Show more",4.4,Intuit,"San Diego, CA",10000+ Employees,1983,Company - Public,Software Development,Information Technology,$10+ billion (USD)
Sr Data Scientist,"$126,935
/yr (est.)","Description

Position Summary
bioMerieux’s Data Science group is looking for a Senior/Lead Data Scientist to help develop solutions for the next generation product concepts that will have a direct impact on the future of medical diagnostics.

The position involves all aspects of feasibility and design work focused on the application of mathematical techniques, data analytics, experiment design, algorithm design and statistical analysis to drive concepts from ideation through feasibility and into development. Algorithm design will involve statistical and machine learning methodologies from design to optimization. Additionally, the Data Scientist will be required to support currently launched products, including manufacturing process development, quality analytics, product evolution and change requests.

The position will include collaboration and interaction with other scientists and engineers while prototyping, integrating and testing the technology for the next generation of diagnostic products for hospitals and laboratories. Coordination as a project team member with marketing, project management, quality analytics, manufacturing, regulatory and other functional areas will be required.

The Data Scientist is expected to prototype and design to the goals of functionality and operational utility while considering long term architecture, solution universality, practicality, connectivity, and schedule commitments. The position requires the ability to perform critical analysis, work well in teams, and self-manage.




Show more",4.1,bioMerieux SA,"Hazelwood, MO",10000+ Employees,1963,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$1 to $5 billion (USD)
Data Scientist Trainee,"$105,995
/yr (est.)","Overview:
Axle Informatics is a scientific research and information technology company that offers innovative computer services, informatics, and bioresearch solutions to research centers and healthcare organizations around the globe. With expertise in software engineering, bioinformatics, data science, molecular research, and program management, we focus on developing and applying technological tools and scientific techniques to empower the world of research. We work with some of the top research organizations and facilities in the country including multiple institutes at the National Institutes of Health (NIH). Axle is offering this postion hybrid.

We are looking for Data Science Trainees to support portions of engineering based Data Science projects which Axle Informatics teams are working on currently at the National Center for Advancing Translational Science (NCATS) and the NIH.

Responsibilities:
Qualifications:



Show more",3.6,Axle Informatics,"Rockville, MD",501 to 1000 Employees,2002,Company - Private,Research & Development,Management & Consulting,$100 to $500 million (USD)
Data Scientist I/II – Computational Biology / Machine Learning,"$142,250
/yr (est.)","About this position

Joining a team with leading expertise in targeted protein degradation, you will be instrumental in bringing the power of AI, machine learning, and other advanced computational methods to drug discovery in this exciting field.

Responsibilities
Play a vital role in the development, application, and upkeep of workflows focusing on predictive computational structural biology/chemistry, such as predicting protein complex structures, protein-ligand interactions, and compound properties.
Contribute to our company's scientific impact by participating in the creation of scientific publications, patents, and presentations.

















Show more",5.0,"Neomorph, Inc.","San Diego, CA",Unknown,--,Company - Public,Biotechnology,Pharmaceutical & Biotechnology,Unknown / Non-Applicable
Data Scientist,"$142,350
/yr (est.)","Description
We are looking for an experienced Data Scientist with an entrepreneur’s mindset to support a fast-paced and growing data science team working on projects critical to National Security. The position is located within a classified space in the Northern Virginia area and requires an active TS/SCI with Polygraph security clearance. Position is funded and an immediate fill opportunity.
The Data Scientist will be expected to build statistical models, test hypotheses, interpret, summarize, visualize, and succinctly report on data findings. The Data Scientist will perform research on various data sources, to include unstructured data using quantitative and qualitative content analytics. The Scientist will construct and perform complex database search queries in multiple databases using SQL and API interfaces. The Scientist will perform web scraping and apply various techniques for processing unstructured data. The Scientist will leverage automation and machine learning to manage data, predict scenarios and make recommendations. The Data Scientist will contribute to building new analytical tools and packages across the enterprise and will be expected to collaborate with team members in a highly technical environment. The Data Scientist will be expected to learn and leverage emerging technologies including AWS and Git.
Pay Range $101,400.00 - $183,300.00
11/30/2023
Show more",3.8,Leidos,"McLean, VA",10000+ Employees,1969,Company - Public,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD)
NYSE Data Scientist,"$125,000
/yr (est.)","Job Purpose
The NYSE is looking for a Data Scientist to join the NYSE Transactions Data Science team. As a Data Scientist, you will employ the latest data science and analytics techniques to help spearhead the groups quantitative research efforts and drive innovation and growth within the business. You will design and build innovative quantitative methods to drive exchange trading product evolution, identify key market trends, devise advanced analytics, and unlock the next big opportunities for the business and the industry. In this role you will collaborate with various internal and external stakeholders, including regular interaction with NYSE and ICE senior management, to extend and defend the NYSEs leadership position in the cash equity and options trading, listing and technology businesses.


Show more",3.6,Intercontinental Exchange,"New York, NY",1001 to 5000 Employees,2000,Company - Public,Stock Exchanges,Financial Services,$5 to $10 billion (USD)
Data Scientist,-1,"Passionate about development in leading technologies? Looking to become a major player on a diverse team in your next career adventure? Koddi Data Scientists drive innovation by embracing challenges and leveraging decision science to solve complex problems in adtech. In this position, you will be responsible for designing, building, and deploying complex systems to model and glean useful insights from billions of rows of data. You will inform decisions based on complex statistical modeling using machine learning, optimizing and forecasting algorithms powered by industry-leading technologies.
WHAT YOU WILL DO
Build production grade models on large-scale datasets to optimize marketing performance by utilizing advanced statistical modeling, machine learning, and optimization and marketing science research


Show more",3.8,Koddi,Remote,51 to 200 Employees,2013,Company - Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable
Equity Research Data Strategy - Data Scientist,"$125,000
/yr (est.)","The Team:
The Data Strategy Team sources, evaluates, and processes large alternative datasets to uncover trends in real-world economic behavior and company performance. Exclusively dedicated to the Equity Research department, our mission is to support the department’s fundamental analysts by combining their industry expertise with our team’s technical skills to produce thoughtful, actionable, and differentiated insights for our clients. The team is comprised of three highly collaborative verticals: ETL Operations, Data Science, and Sector Strategists. We balance exploration of innovative technology and methods with a bias towards explainability and an outcome-oriented ethos. We foster deep relationships with our stakeholders: internal analysts, clients, and third-party data vendors.


Our team’s Data Science segment converts large, raw datasets into insightful and scalable conclusions that help answer key investment debates. Data Scientists are expected to develop assumptions and pipelines to refine, enhance, normalize, combine, and aggregate disparate, often-messy data. The candidate will work closely with fundamental analysts to incorporate their knowledge, with vendors to understand data sourcing and logistics, and with the rest of the Data Strategy Team to refine methodology and disseminate derived outputs. Data Scientists have autonomy to research and deploy the best tool/technology for the task at hand, including but not limited to libraries for statistical modeling, geospatial analysis, ML, NLP, graph theory, timeseries analysis, and more.

Show more",3.9,"Jefferies & Company, Inc.","New York, NY",1001 to 5000 Employees,1962,Company - Public,Investment & Asset Management,Financial Services,$1 to $5 billion (USD)
Data Scientist – Learning Analytics,"$117,500
/yr (est.)","DATA SCIENTIST, LEARNING ANALYTICS, MIT Open Learning, to collaborate with faculty, course teams, and colleagues to design and assess digital learning experiences. Will use data-science tools and pedagogy research to extract insights from complex datasets and design and conduct experiments; and work closely with Residential Education team members and others across MIT to communicate results, inform iterative instructional improvements, and drive learning analytics innovation.

A full job description is available at https://openlearning.mit.edu/jobs.
Job Requirements
REQUIRED: bachelor's degree (master’s preferred) in a related field with education research methods and statistical analysis; at least seven years of work experience; proficiency with Python or R, SQL, web servers, databases, APIs, and web services; knowledge of web standards, accessibility, and SEO; and ability to design and conduct experiments on pedagogy and course content. Must also be able to collaborate with faculty, course teams, and colleagues; communicate effectively and drive innovation in data-driven learning analytics; and work independently on multiple projects concurrently.

Salary range: $110,000 - 125,000, with the final salary determined by MIT’s compensation team based on the skills and experience of the selected candidate.

Will be required to work on campus four days a month or more in Cambridge, depending on the needs of the team.

for this position now or in the future.

Employment is contingent upon the completion of a satisfactory background check.
Show more",4.4,MIT,"Cambridge, MA",10000+ Employees,1861,College / University,Colleges & Universities,Education,$1 to $5 billion (USD)
Senior Data Scientist,"$195,000
/yr (est.)","SentiLink provides innovative identity and risk solutions, empowering institutions and individuals to transact confidently with one another.
By building the future of identity verification in the United States and reinventing the currently clunky, ineffective, and expensive process, we believe strongly that the future will be 10x better.
We’ve had tremendous traction and are growing extremely quickly. Already our real-time APIs have helped verify hundreds of millions of identities, beginning with financial services. In 2021, we raised a $70M Series B round, led by Craft Ventures to rapidly scale our best in class products. We’ve earned coverage and awards from TechCrunch, CNBC, Bloomberg, Forbes, Business Insider, PYMNTS, American Banker, LendIt, and have recently landed on the Forbes Fintech 50, 2023. Last but not least, we’ve even been a part of history-we were the first company to go live with the eCBSV and testified before the United States House of Representatives.
Show more",5.0,SentiLink,Remote,Unknown,--,Company - Public,Information Technology Support Services,Information Technology,Unknown / Non-Applicable
Data Scientist,"$152,650
/yr (est.)","Data Scientist
The Opportunity:
As a data scientist, you’re excited at the prospect of unlocking the secrets held by a data set, and you’re fascinated by the possibilities presented by IoT, machine learning, and artificial intelligence. In an increasingly connected world, massive amounts of structured and unstructured data open new opportunities. As a data scientist at Booz Allen, you can help turn these complex data sets into useful information to solve global challenges. Across private and public sectors—from fraud detection to cancer research to national intelligence—we need you to help find the answers in the data.
On our team, you’ll use your leadership skills and data science expertise to create real-world impact. You’ll work closely with clients to understand their questions and needs, and then dig into their data-rich environments to find the pieces of their information puzzle. You’ll guide teammates and lead the development of algorithms and systems. You’ll use the right combination of tools and frameworks to turn sets of disparate data points into objective answers to advise your clients as they make informed decisions. Ultimately, you’ll provide a deep understanding of the data, what it all means, and how it can be used.
Salary at Booz Allen is determined by various factors, including but not limited to location, the individual’s particular combination of education, knowledge, skills, competencies, and experience, as well as contract-specific affordability and organizational requirements. The projected compensation range for this position is $93,300.00 to $212,000.00 (annualized USD). The estimate displayed represents the typical salary range for this position and is just one component of Booz Allen’s total compensation package for employees.

Show more",4.2,boozallen,"Monterey, CA",10000+ Employees,1914,Company - Public,Business Consulting,Management & Consulting,$5 to $10 billion (USD)
Data Scientist,"$150,039
/yr (est.)","Position: Data Scientist
Location: Menlo Park CA or Remote
Qualification: Bachelors’ degree in Computer Science or a related field
Experience: 3-5yrs
Job description:
Design and develop software solutions to problems related to managing networks
consisting of a large number of devices;
Design and develop software solutions to integrate with and orchestrate 3rd party
Show more",4.7,Teknatio,"Menlo Park, CA",1 to 50 Employees,--,Contract,--,--,Unknown / Non-Applicable
Data Scientist,-1,"Who are we?
Buyers Edge Platform is one of the fastest-growing companies in the exciting Foodservice Technology industry. Buyers Edge Platform is made up of more than a dozen companies who work together to help restaurants and other foodservice operators reduce their costs, streamline their supply chains, and utilize technology to run their businesses more efficiently and profitably. We are driven by our entrepreneurial spirit, diverse portfolio of companies and our inclusive and collaborative atmosphere. Our values-focused culture is best experienced at one of our 14 offices, including marquee locations in Chicago, West Palm Beach, New London, CT and Waltham, MA.
This position is remote and based around East Coast working hours. We are unable to offer work sponsorship for this role.

Show more",4.3,"Buyers Edge Platform, LLC",Remote,Unknown,--,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable
Principal Data Scientist,-1,"Company Description

Dropbox is a special place where we are all seeking to fulfill our mission to design a more enlightened way of working. We’re looking for innovative talent to join us on our journey. The words shared by our founders at the start of Dropbox still ring true today.

Wouldn’t it be great if our working environment—and the tools we use—were designed with people’s actual needs in mind? Imagine if every minute at work were well spent—if we could focus and spend our time on the things that matter. This is possible, and Dropbox is connecting the dots.

The nearly 3,000 Dropboxers around the world have helped make Dropbox a living workspace - the place where people come together and their ideas come to life. Our 700+ million global users have been some of our best salespeople, and they have helped us acquire customers with incredible efficiency. As a result, we reached a billion dollar revenue run rate faster than any software-as-a-service company in history.

Dropbox is making the dream of a fulfilling and seamless work life a reality. We hope you’ll join us on the journey.

Team Description

Our Product team advocates for our users and our business, setting the vision for our growing family of products. We use data, research, strategy, and empathy to guide multidisciplinary teams toward a common goal, balancing diverse perspectives and empowering our teams to do great work. As we scale globally, there’s plenty of space for you to grow alongside us and simplify life for millions of people around the world in team that always focuses on we, not I, and creates delightful products that are worthy of trust.

Role Description

We're looking for a Principal Data Scientist to partner with growth, marketing, and product teams to answer key questions about how to grow revenue, optimize product, scale and monetize the business, and launch high-impact initiatives. We solve challenging problems and boost business growth through a deep understanding of user behaviors with applied analytics techniques and business insights. An ideal candidate should have robust knowledge of consumer lifecycle and behavior analysis, customer segmentation, digital campaigns, product analytics, growth & monetization analytics and business operations for a SaaS company.

As a Principal Data Scientist, you will be able to drive the future direction of the business and answer key strategic questions about revenue/user growth. You will join a team of top-tier data scientists and partner with growth & product teams to influence product roadmaps. You will lead to build a top-tier data-informed culture with a lot of focus on impact and execution!
Responsibilities

Serve as the data leader to drive incredibly high quality bar expected by both our customers and the broader Dropbox organization, through clear and repeatable data informed approach
Create a culture of strong technical ownership, resulting in highly reliable products and services at scale
Leverage data-driven insights to proactively identify most impactful opportunities, and inform future experimentation design and product roadmaps
Perform analytical deep-dives to analyze user problems and opportunities, identify the hypothesis and design & execute experiments with great rigor and efficient data techniques
Partner closely with leadership across all functions - Growth Product, Engineering, Design, Research, GTM, Customer success and Sales
Partner with growth and finance teams in providing revenue metrics analyses including impact of large initiatives, input metrics sensitivities and opportunity projections
Build the reliable, efficient, and scalable data foundations and execution standards, tools, documentation and operating processes for our organization’s long-term growth
Translate complex concepts into implications for the business via excellent communication skills, both verbal and written
Mentor and coach data scientists and create an effective working model between DS and XFNs
Requirements

Statistics, Applied Mathematics, Economics, Computer Science, Engineering, or related field
10+ years experience of leveraging data-driven analysis to influence key business decisions and executives, preferably in a tech company
3+ years serving as a technical leader to work with data scientists, engineers, product managers, user researchers, and designers
Proven track record of being able to work independently and proactively engage with business stakeholders with minimal direction & driver measurable business impact
Ability to influence prioritization and execution of high impact projects effecting customer experience, monetization, and entire organization’s roadmap
Ability to analyze large datasets and use data to inform product or business decision making, with a track record of driving directly measurable product or business impact
Good Executive presence with excellent verbal and written communication skills
Previous experience building data driven programs and teams - proficient with SQL, Python and experiences with large datasets, deep understanding of statistical analysis & experiment design
Previous experiences coaching and mentoring senior data scientists to scale the team productivity

Total Rewards

Dropbox takes a number of factors into account when determining individual starting pay, including job and level they are hired into, location/metropolitan area, skillset, and peer compensation. We target most new hire offers between the minimum up to the middle of the range.

Salary/OTE is just one component of Dropbox’s total rewards package. All regular employees are also eligible for the corporate bonus program or a sales incentive (target included in OTE) as well as stock in the form of Restricted Stock Units (RSUs).


Dropbox uses the zip code of an employee’s remote work location to determine which metropolitan pay range we use. Current US Zone locations are as follows:
Dropbox is committed to investing in the holistic health and wellbeing of all Dropboxers and their families. Our benefits and perks programs include, but are not limited to:

Competitive medical, dental and vision coverage

(US Only) Competitive 401(k) Plan with a generous company match and immediate vesting

Flexible Time Off/Paid Time Off, paid holidays, Volunteer time off and more

Protection Plans including; Life Insurance, Disability Insurance and Travel benefit plans

Perks Allowance to be used on what matters most to you, whether that’s wellness, learning and development, food & groceries, and much more

Parental benefits including; Parental Leave, Child and Adult Care, Day Care FSA (US Only), Fertility Benefits (US Only), Adoption and Surrogacy support and Lactation Support

Mental Health and Wellness benefits Free Dropbox space for your friends and family

Additional benefits details are available upon request.

Dropbox is an equal opportunity employer. We are a welcoming place for everyone, and we do our best to make sure all people feel supported and connected at work. A big part of that effort is our support for members and allies of internal groups like Asians at Dropbox, BlackDropboxers, Latinx, Pridebox (LGBTQ), Vets at Dropbox, Women at Dropbox, ATX Diversity (based in Austin, Texas) and the Dropbox Empowerment Network (based in Dublin, Ireland).
Show more",4.5,Dropbox,Remote,1001 to 5000 Employees,2007,Company - Public,Computer Hardware Development,Information Technology,Unknown / Non-Applicable
Experienced Data Scientist - Risk,"$215,000
/yr (est.)","We believe that the way people interact with their finances will drastically improve in the next few years. We’re dedicated to empowering this transformation by building the tools and experiences that thousands of developers use to create their own products. Plaid powers the tools millions of people rely on to live a healthier financial life. We work with thousands of companies like Venmo, SoFi, several of the Fortune 500, and many of the largest banks to make it easy for people to connect their financial accounts to the apps and services they want to use. Plaid’s network covers 12,000 financial institutions across the US, Canada, UK and Europe. Founded in 2013, the company is headquartered in San Francisco with offices in New York, Washington D.C., London and Amsterdam. #LI-Hybrid

Plaid’s Machine Learning team is building models, services and platforms that improve how millions of users understand and grow their financial lives. We are looking for data scientists to utilize best in class methodologies and approaches to build new products, improve existing systems and uncover insights to empower data driven decision making.




Show more",4.1,Plaid,"San Francisco, CA",1001 to 5000 Employees,2012,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable
Principal Data Scientist,-1,"What success looks like in this role:
Demonstrate in-depth knowledge of relevant industry standards, trends, and products and apply this this knowledge to support the design/delivery of innovative solutions that meet customer requirements.
Take responsibility for the integrity and delivery of the larger solution or major infrastructure solution area as designated in the project plan.
Develop solutions and estimates that are correct, viable, and accurate for Advanced Analytics projects.
Leverage Advanced Analytics expertise to support business development through identifying, qualifying, and developing new opportunities and/or participating in the development of proposals for new opportunities.
Show more",3.5,Unisys,Remote,10000+ Employees,1886,Company - Public,Information Technology Support Services,Information Technology,$1 to $5 billion (USD)
Data Scientist,"$80,000
/yr (est.)","The New York City Council, an equal opportunity employer, seeks an experienced professional to serve as a Data Scientist in the Legislative Division.
SALARY RANGE:
$75,000 to $85,000
KEY RESPONSIBILITIES:
The Data Scientist will:
Develop and enhance investigations through data analytics.
Collect and utilize data to inform investigations.
Perform complex statistical analyses of sample and aggregate data sets to identify patterns, trends, and systemic issues.
Show more",3.9,New York City Council,United States,Unknown,--,Government,Municipal Agencies,Government & Public Administration,Unknown / Non-Applicable
Data Engineer,"$79,591
/yr (est.)","Remote
Data Engineer
At AnitaB.org, we envision a future where the people who imagine and build technology mirror the people and societies for whom they build it. Our social enterprise supports women and non-binary technologists in technical fields, the organizations that employ them, and the academic institutions training the next generation. AnitaB.org is known for our Grace Hopper Celebration, and our various programs connecting, guiding, and inspiring women and non-binary technologists.
We are looking for a customer-centric data engineer with a strong data systems background to join our team. You will be focused on implementing all aspects of our data & analytics infrastructure and supporting our Data Governance program. You will use various methods to transform raw data into useful data & analytics systems, create algorithms, and conduct statistical analysis. Overall, you will strive for efficiency by aligning data & analytics systems with business goals. This position reports to the Head of Data Science & Data Governance.
Show more",2.5,AnitaB.org,Remote,51 to 200 Employees,--,Nonprofit Organization,Civic & Social Services,Nonprofit & NGO,$5 to $25 million (USD)
Data Scientist,"$125,605
/yr (est.)","Overview:
Are you ready to take the next step in your career with Castalia Systems?

We’re looking for growth-oriented stars looking to thrive as part of our growing Castalia team! Diversity is what makes our company great, and we’re looking for top talent to come be a part of the difference.

When founded in 2011, the vision of Castalia Systems was to create a company that focused on its people - the Castalia family - while providing advanced solutions to clients with honesty and integrity. Castalia Systems is a Woman Owned Small Business (WOSB) and Small Disadvantage Business (SDB) providing top-tier solutions in the Defense and Intelligence space.







Responsibilities:


Qualifications:





Show more",4.4,"Castalia Systems, LLC","Herndon, VA",51 to 200 Employees,2007,Company - Private,National Agencies,Government & Public Administration,Unknown / Non-Applicable
Data Science Specialist,"$64,000
/yr (est.)","The Data Science Specialist will collaborate with colleagues within Educational Outreach and Student Services and the broader university to design and implement data services and programming. The successful candidate will coordinate data collection, analyze quality, document processes and procedures, and contribute to research design and reporting efforts that support the university’s mission, both independently and within a team. They will also provide decision support analysis to inform project prioritization of student success and outreach strategies while contributing to the advancement of data literacy and research across the division.
This position is ideal for a data scientist with an interest in promoting awareness of data science, data resources, and data services among EOSS professional and student staff through comprehensive, customized instructional activities and presentations delivered in various formats and modalities.



Arizona State University offers a comprehensive benefits package that includes valuable employee benefits to enhance the total compensation of its staff. This package includes: (Click here to explore options)






















Show more",4.2,Arizona State University,"Tempe, AZ",10000+ Employees,1885,College / University,Colleges & Universities,Education,$1 to $5 billion (USD)
"Senior Data Scientist, CSS Workforce Analytics","$141,935
/yr (est.)","Overview:
Working at Atlassian
Atlassians can choose where they work – whether in an office, from home, or a combination of the two. That way, Atlassians have more control over supporting their family, personal goals, and other priorities. We can hire people in any country where we have a legal entity. Interviews and onboarding are conducted virtually, a part of being a distributed-first company.
Are you an analytics champion with a deep toolset who thrives on helping business partners strategize, understand, visualize and measure data-driven initiatives? Do you relish the opportunity to dive headfirst into large, end-to-end projects and make contributions across analytics, strategy and operations? Are you energized working closely with the business to turn data into beautiful, high impact visualizations to power leadership decisions? If so, this role is for you!
Responsibilities:

Qualifications:
Show more",4.1,Atlassian,"Austin, TX",5001 to 10000 Employees,2002,Company - Public,Software Development,Information Technology,Unknown / Non-Applicable
Research Data Scientist,"$138,450
/yr (est.)","Microsoft Research & Incubations conducts world-class research and is developing the next generations of technology that will change the lives of billions of people, enabling every person and organization on the planet to achieve more. The Special Projects team within Microsoft Research & Incubations is searching for a Research Data Scientist who is eager to tackle unique challenges around knowledge extraction, representation, and Large Language Models (LLM) memory systems. In this role, you’ll work at the intersection of LLMs, Small Language Models (SLMs), and graph machine learning to help build new memory systems, which will in turn help advance the state of the art in retrieval augmented generation.

We are looking for a Research Data Scientist with a passion for unlocking the hidden potential in data. In this role, you will need to design, develop, and evaluate experiments independently. Some areas of research concentration include, but are not limited to:









Microsoft is an equal opportunity employer. Consistent with applicable law, all qualified applicants will receive consideration for employment without regard to age, ancestry, citizenship, color, family or medical care leave, gender identity or expression, genetic information, immigration status, marital status, medical condition, national origin, physical or mental disability, political affiliation, protected veteran or military status, race, ethnicity, religion, sex (including pregnancy), sexual orientation, or any other characteristic protected by applicable local laws, regulations and ordinances. If you need assistance and/or a reasonable accommodation due to a disability during the application process, read more about requesting accommodations.
Show more",4.3,Microsoft,"Redmond, WA",10000+ Employees,1975,Company - Public,Computer Hardware Development,Information Technology,$10+ billion (USD)
"Data Scientist, Analytics","$169,000
/yr (est.)","In this role, your primary responsibility will be to partner with key stakeholders and program managers, and lead the development of analytics programs to support and enable the continued growth critical to Meta's Data Center E2E lifecycle. As we plan to grow our Data Center footprint, we need to leverage data to drive decisions and introduce automation, predictability & optimization to allow us to operate efficiently and reliably at scale. You will be responsible for creating end-to-end analytics programs, from data sourcing to surfacing insights and driving action, for various aspects of Meta's global data center operations. You will also help translate business problems to data science problems, identify solutions and efficiency opportunities. You will be expected to use data to provide meaningful recommendations and actionable strategies to key stakeholders, and develop best practices, including streamlining of data sources and related programmatic initiatives.The ideal candidate will have a passion for working in white space and creating impact from the ground up in a fast-paced environment. Additionally, you will have a proven track record of thought leadership and impact in developing similar analytics and metrics-based programs. This position is part of the Infrastructure Data Centers organization.















Meta builds technologies that help people connect, find communities, and grow businesses. When Facebook launched in 2004, it changed the way people connect. Apps like Messenger, Instagram and WhatsApp further empowered billions around the world. Now, Meta is moving beyond 2D screens toward immersive experiences like augmented and virtual reality to help build the next evolution in social technology. People who choose to build their careers by building with us at Meta help shape a future that will take us beyond what digital connection makes possible today—beyond the constraints of screens, the limits of distance, and even the rules of physics.




Show more",3.9,Meta,"Fremont, CA",10000+ Employees,2004,Company - Public,Internet & Web Services,Information Technology,$10+ billion (USD)
Medical Analytics Data Engineer,"$156,400
/yr (est.)","ROLE SUMMARY
Develop data infrastructure for data scientists and ensure appropriate and efficient development of care gap and HCP prioritization models
ROLE RESPONSIBILITIES
Develop and maintain data infrastructure
Design, develop, optimize, and maintain data architecture and pipelines (e.g., feeding medical data sources into data lake for ongoing projects)
Partner with product manager and data lead to develop technical architectures for analytical models
Identify data inputs needed to conduct analytics (e.g., claims data for unmet need analysis)
The annual base salary for this position ranges from $117,300.00 to $195,500.00. In addition, this position is eligible for participation in Pfizer’s Global Performance Plan with a bonus target of 17.5% of the base salary and eligibility to participate in our share based long term incentive program. We offer comprehensive and generous benefits and programs to help our colleagues lead healthy lives and to support each of life’s moments. Benefits offered include a 401(k) plan with Pfizer Matching Contributions and an additional Pfizer Retirement Savings Contribution, paid vacation, holiday and personal days, paid caregiver/parental and medical leave, and health benefits to include medical, prescription drug, dental and vision coverage. Learn more at Pfizer Candidate Site – U.S. Benefits | (uscandidates.mypfizerbenefits.com). Pfizer compensation structures and benefit packages are aligned based on the location of hire. The United States salary range provided does not apply to Tampa, FL or any location outside of the United States.
Marketing and Market Research
#LI-PFE
Show more",4.0,Pfizer,"New York, NY",10000+ Employees,1849,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$10+ billion (USD)
